region,lat_zone,no_prior_top1,no_prior_top3,no_prior_top5,with_prior_top1,with_prior_top3,with_prior_top5,gain_yes_vs_no_top1,gain_yes_vs_no_top3,gain_yes_vs_no_top5
Central West,Far North,0.4419642984867096,0.33830103278160095,0.33243969082832336,0.4241071343421936,0.4262295067310333,0.40840035676956177,-0.01785716414451599,0.08792847394943237,0.0759606659412384
Central West,Far North,0.4419642984867096,0.33830103278160095,0.33243969082832336,0.4241071343421936,0.4262295067310333,0.40840035676956177,-0.01785716414451599,0.08792847394943237,0.0759606659412384
Central West,Far North,0.4419642984867096,0.33830103278160095,0.33243969082832336,0.4241071343421936,0.4262295067310333,0.40840035676956177,-0.01785716414451599,0.08792847394943237,0.0759606659412384
Central West,Far North,0.4419642984867096,0.33830103278160095,0.33243969082832336,0.4241071343421936,0.4262295067310333,0.40840035676956177,-0.01785716414451599,0.08792847394943237,0.0759606659412384
CentralWest_Mid+South,COMBINED,0.648809552192688,0.4798413813114166,0.40444090962409973,0.6091269850730896,0.5307336449623108,0.49365583062171936,-0.03968256711959839,0.050892263650894165,0.08921492099761963
CentralWest_Mid+South,COMBINED,0.648809552192688,0.4798413813114166,0.40444090962409973,0.6091269850730896,0.5307336449623108,0.49365583062171936,-0.03968256711959839,0.050892263650894165,0.08921492099761963
CentralWest_Mid+South,COMBINED,0.648809552192688,0.4798413813114166,0.40444090962409973,0.6091269850730896,0.5307336449623108,0.49365583062171936,-0.03968256711959839,0.050892263650894165,0.08921492099761963
CentralWest_Mid+South,COMBINED,0.648809552192688,0.4798413813114166,0.40444090962409973,0.6091269850730896,0.5307336449623108,0.49365583062171936,-0.03968256711959839,0.050892263650894165,0.08921492099761963
Central West,Mid,0.49686846137046814,0.5334261655807495,0.508566677570343,0.6659707427024841,0.46100279688835144,0.41788551211357117,0.169102281332016,-0.07242336869239807,-0.09068116545677185
Central West,Mid,0.49686846137046814,0.5334261655807495,0.508566677570343,0.6659707427024841,0.46100279688835144,0.41788551211357117,0.169102281332016,-0.07242336869239807,-0.09068116545677185
Central West,Mid,0.49686846137046814,0.5334261655807495,0.508566677570343,0.6659707427024841,0.46100279688835144,0.41788551211357117,0.169102281332016,-0.07242336869239807,-0.09068116545677185
Central West,Mid,0.49686846137046814,0.5334261655807495,0.508566677570343,0.6659707427024841,0.46100279688835144,0.41788551211357117,0.169102281332016,-0.07242336869239807,-0.09068116545677185
Central West,North,0.3052208721637726,0.29624664783477783,0.2813504934310913,0.3654618561267853,0.30294907093048096,0.2926045060157776,0.060240983963012695,0.006702423095703125,0.01125401258468628
Central West,North,0.3052208721637726,0.29624664783477783,0.2813504934310913,0.3654618561267853,0.30294907093048096,0.2926045060157776,0.060240983963012695,0.006702423095703125,0.01125401258468628
Central West,North,0.3052208721637726,0.29624664783477783,0.2813504934310913,0.3654618561267853,0.30294907093048096,0.2926045060157776,0.060240983963012695,0.006702423095703125,0.01125401258468628
Central West,North,0.3052208721637726,0.29624664783477783,0.2813504934310913,0.3654618561267853,0.30294907093048096,0.2926045060157776,0.060240983963012695,0.006702423095703125,0.01125401258468628
Central West,South,0.6538461446762085,0.5194805264472961,0.43410852551460266,0.5,0.44155845046043396,0.4728682041168213,-0.1538461446762085,-0.07792207598686218,0.03875967860221863
Central West,South,0.6538461446762085,0.5194805264472961,0.43410852551460266,0.5,0.44155845046043396,0.4728682041168213,-0.1538461446762085,-0.07792207598686218,0.03875967860221863
Central West,South,0.6538461446762085,0.5194805264472961,0.43410852551460266,0.5,0.44155845046043396,0.4728682041168213,-0.1538461446762085,-0.07792207598686218,0.03875967860221863
