region,lat_zone,model,horizon,PR_AUC,NAP,Base,ROC_AUC,Brier,BSS,n_samples,n_pos
NorthEast_NorthBand,COMBINED,GRU_no_prior,14,0.2293122107970988,0.09053417135143722,0.15259291231632233,0.607335282208615,0.13165892158280987,-0.018178274412730788,31856,4861
South,Far North,GRU_no_prior,14,0.2826098998407688,0.16472728935170977,0.14113068580627441,0.7531904892285401,0.12053775170579482,0.005569233231422777,14646,2067
South,Mid,GRU_no_prior,14,0.3742041387831595,0.22450203619285716,0.19303996860980988,0.6926129901741187,0.15294332637366018,0.018181358480646947,30201,5830
South,North,GRU_no_prior,14,0.0939987463370032,0.07131279898233799,0.024427974596619606,0.7236009953007443,0.023646389257332222,0.007757009719173369,43311,1058
South,South,GRU_no_prior,14,0.2826859875758947,0.10609940213730781,0.1975461095571518,0.6312070982201194,0.16315029013929463,-0.029198811767437993,12144,2399
West,Far North,GRU_no_prior,14,0.2252802243352507,0.07601096591588817,0.16154873371124268,0.619356229370195,0.13641001525445168,-0.007082104644978715,32207,5203
West,Mid,GRU_no_prior,14,0.6567452138111002,0.31362158938255674,0.49990445375442505,0.7049698483545808,0.24886022714088055,0.004559055092394737,324476,162207
West,North,GRU_no_prior,14,0.4948584311190261,0.278075617895246,0.30028465390205383,0.7097752095984324,0.20652519087640955,0.01707926183714259,116283,34918
Central West,Far North,GRU_with_prior,7,0.32582860929379415,0.1919185963755025,0.16571351885795593,0.7138045270248817,0.13569046070831886,0.01853194359185517,22382,3709
Central West,Mid,GRU_with_prior,7,0.356317449257283,0.22891455918129203,0.16522538661956787,0.7569206454582829,0.1280930193177524,0.07129141590513421,47874,7910
Central West,North,GRU_with_prior,7,0.25581923582789073,0.13462826183135854,0.14004498720169067,0.7279953760129344,0.11940236998814588,0.008552714965537445,24892,3486
Central West,South,GRU_with_prior,7,0.26906672439865065,0.11498735838590368,0.17409849166870117,0.6385813022156697,0.14872545738004114,-0.03433698241254124,2579,449
CentralWest_Mid+South,COMBINED,GRU_with_prior,7,0.3428945255001352,0.2122946534411387,0.1657978743314743,0.7390821857553347,0.13100547132881538,0.05280545121751645,50453,8365
East,Far North,GRU_with_prior,7,0.31442073353037975,0.19238044532130844,0.15111111104488373,0.6761283920199843,0.1429139872425979,-0.11410850079404344,675,102
East,Mid,GRU_with_prior,7,0.30691103117054996,0.1675925098545812,0.16736817359924316,0.6695665074585898,0.1519750862961373,-0.09055235859987976,25184,4215
East,North,GRU_with_prior,7,0.172215630748867,0.13010288894409539,0.04841117560863495,0.7896510128604347,0.04446358946693224,0.03481722675478105,23445,1135
East,South,GRU_with_prior,7,0.29839364894115805,0.144059506677648,0.18030942976474762,0.5750532423493233,0.14990989594421358,-0.014289514544540749,3555,641
East_NorthBand,COMBINED,GRU_with_prior,7,0.12921623003961158,0.08491593465555823,0.04841117560863495,0.7588127644702105,0.04510792513105528,0.020830463862829163,23445,1135
Midwest,Far North,GRU_with_prior,7,0.4382068428519488,0.3272538346247259,0.16492551565170288,0.7882404428476412,0.12431676984184088,0.09735566416276031,16177,2668
Midwest,Mid,GRU_with_prior,7,0.29125523591299,0.14525577738651616,0.17081069946289062,0.6790172435914477,0.13785348775344727,0.02669489558439031,19144,3270
Midwest,North,GRU_with_prior,7,0.30549027934440826,0.20508941903254307,0.12630459666252136,0.7534122626813554,0.10091773538135665,0.08549033760857627,15043,1900
Midwest,South,GRU_with_prior,7,0.2568291776385277,0.11175063852995781,0.16333086788654327,0.6703054671142992,0.1371160080935268,-0.0033816550848217997,4047,661
North East,Far North,GRU_with_prior,7,0.21539259240269581,0.08276142106561503,0.1445983350276947,0.5808295118416612,0.1253768148130997,-0.013640236539041561,1805,261
North East,North,GRU_with_prior,7,0.3283201243059889,0.22014482737471527,0.13871203362941742,0.7223057608169737,0.11374846287066391,0.04789899024621658,30156,4183
NorthEast_NorthBand,COMBINED,GRU_with_prior,7,0.3437692633936381,0.23778788928332475,0.13904446363449097,0.7269265784375435,0.11465652883237096,0.042223066122559216,31961,4444
South,Far North,GRU_with_prior,7,0.35861391866527853,0.2592200418327815,0.1341746300458908,0.7827263172528715,0.11077790333010257,0.04643030226696898,14660,1967
South,Mid,GRU_with_prior,7,0.4041595450683351,0.2748562253524383,0.17831404507160187,0.7342319494809942,0.13728680320774675,0.06300479594284525,30250,5394
South,North,GRU_with_prior,7,0.16768337591775134,0.14762825239595023,0.023528611287474632,0.8021095032735059,0.022120989200248707,0.037171954909549054,44074,1037
South,South,GRU_with_prior,7,0.27758320059024727,0.12038865839250786,0.17870908975601196,0.6610836155678517,0.14732856185751245,-0.0037909591833671374,12193,2179
West,Far North,GRU_with_prior,7,0.23837547658860403,0.10193889734993951,0.15192349255084991,0.664098827749753,0.12975012259021843,-0.0070425074141113875,32207,4893
West,Mid,GRU_with_prior,7,0.6139973448351197,0.300770811933177,0.4479597508907318,0.7201341941818933,0.2304649697123059,0.068044476939635,324518,145371
West,North,GRU_with_prior,7,0.45600363860547755,0.25949755593031404,0.26536858081817627,0.7216536184787472,0.1866202655304461,0.042718195728475905,116325,30869
Central West,Far North,GRU_with_prior,14,0.30718794760034107,0.1559123532290876,0.1792178750038147,0.6879788820896303,0.1471713270462049,-0.0004928483921073923,22375,4010
Central West,Mid,GRU_with_prior,14,0.3466355618918331,0.20341301793929165,0.17979523539543152,0.7223916404687508,0.14071818889387036,0.0457772443211939,47860,8605
Central West,North,GRU_with_prior,14,0.25797690085480673,0.13133176983511144,0.14579229056835175,0.708406708589945,0.12208326888964556,0.019702016653503462,24871,3626
Central West,South,GRU_with_prior,14,0.29142728877714136,0.12772839525086038,0.18766963481903076,0.6170644391408114,0.15687652604229618,-0.029037635801581807,2579,484
CentralWest_Mid+South,COMBINED,GRU_with_prior,14,0.37466666686060385,0.23697443418713854,0.18045559525489807,0.7618432276780347,0.1378213856616657,0.06809045199905783,50439,9102
East,Far North,GRU_with_prior,14,0.4520232002179968,0.3464940966363716,0.16148148477077484,0.6579732226796772,0.15146708427537145,-0.11862077791950787,675,109
East,Mid,GRU_with_prior,14,0.2550816470701695,0.09281970890942455,0.17886404693126678,0.5985960178075176,0.16319078658042405,-0.11111114819806023,25142,4497
East,North,GRU_with_prior,14,0.1235223912215215,0.07717769324391795,0.050220608711242676,0.7384511862254299,0.046855790967819805,0.017667368752124935,23118,1161
East,South,GRU_with_prior,14,0.2957216113184288,0.1239644313012176,0.1960618793964386,0.6078123478308013,0.15987032199665255,-0.014266443385650751,3555,697
East_NorthBand,COMBINED,GRU_with_prior,14,0.12799768020564078,0.08188961795524144,0.050220608711242676,0.745827026962142,0.04690344489438405,0.0166683031915138,23118,1161
Midwest,Far North,GRU_with_prior,14,0.49728286178242126,0.3865416885191126,0.1805194765329361,0.7943209906992741,0.13202549208217232,0.10752700115700797,16170,2919
Midwest,Mid,GRU_with_prior,14,0.32296964747449985,0.1696257290214449,0.1846684366464615,0.7011609709232343,0.14543939377633858,0.03404895708569766,19137,3534
Midwest,North,GRU_with_prior,14,0.33199080619443855,0.21961836776625218,0.14399677515029907,0.7454809738377964,0.1115634636306403,0.09490575284843283,14917,2148
Midwest,South,GRU_with_prior,14,0.23396875022347846,0.07806504134190698,0.16910488903522491,0.6486847712986274,0.14300330806883754,-0.01775612699936424,4033,682
North East,Far North,GRU_with_prior,14,0.15029900249547504,0.0021403411140121127,0.14847645163536072,0.5212179182163353,0.13286193213300698,-0.050863516924907204,1805,268
North East,North,GRU_with_prior,14,0.3440366239280122,0.22569112611374165,0.15284016728401184,0.7049069879348759,0.12676999984167214,0.020930280015254432,30051,4593
NorthEast_NorthBand,COMBINED,GRU_with_prior,14,0.27108918762437256,0.13983394407515604,0.15259291231632233,0.6597523507652392,0.12900199529414907,0.0023689440462094646,31856,4861
South,Far North,GRU_with_prior,14,0.28092682558305054,0.1627676498234327,0.14113068580627441,0.7165720676288604,0.1219591745082447,-0.006157437851613601,14646,2067
South,Mid,GRU_with_prior,14,0.3889389436558407,0.24276168264312414,0.19303996860980988,0.7060822049488984,0.1511782600811307,0.029512189518602905,30201,5830
South,North,GRU_with_prior,14,0.07598159357586412,0.05284450316000818,0.024427974596619606,0.7674926561964459,0.02379184270222187,0.0016535340665766451,43311,1058
South,South,GRU_with_prior,14,0.2826036468188649,0.10599679093682582,0.1975461095571518,0.6451899211468093,0.16232418202345317,-0.023987484895205302,12144,2399
West,Far North,GRU_with_prior,14,0.2241704712796074,0.07468739101027035,0.16154873371124268,0.6297744722324293,0.1366957440755271,-0.009191571328562187,32207,5203
West,Mid,GRU_with_prior,14,0.6466452681519995,0.2934255573744232,0.49990445375442505,0.7050665296086438,0.2445094572679623,0.021962135219463552,324476,162207
West,North,GRU_with_prior,14,0.49226709590955925,0.2743722044658882,0.30028465390205383,0.709129037511476,0.2026498710802713,0.03552317261854865,116283,34918
