threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,tpr,tnr,fpr,tag
0.0,4010,18365,0,0,0.179217877094972,1.0,0.3039605836649611,0.179217877094972,1.0,0.0,1.0,CentralWest_FarNorth
0.0333333333333333,3997,18086,13,279,0.1809989584748449,0.9967581047381546,0.306365691948032,0.1911061452513966,0.9967581047381546,0.0151919411924857,0.9848080588075144,CentralWest_FarNorth
0.0666666666666666,3749,14218,261,4147,0.2086603217008961,0.9349127182044888,0.3411748646312054,0.3528938547486033,0.9349127182044888,0.2258099646065886,0.7741900353934114,CentralWest_FarNorth
0.1,2668,6943,1342,11422,0.2775985849547394,0.6653366583541147,0.391748036120696,0.6297206703910615,0.6653366583541147,0.6219439150558127,0.3780560849441873,CentralWest_FarNorth
0.1333333333333333,1393,2798,2617,15567,0.3323789071820568,0.3473815461346633,0.3397146689428119,0.7579888268156425,0.3473815461346633,0.8476449768581541,0.1523550231418459,CentralWest_FarNorth
0.1666666666666666,611,1020,3399,17345,0.3746167995095034,0.1523690773067331,0.21662825740117,0.8025027932960894,0.1523690773067331,0.9444595698339232,0.0555404301660767,CentralWest_FarNorth
0.2,215,275,3795,18090,0.4387755102040816,0.0536159600997506,0.0955555555555555,0.8181005586592178,0.0536159600997506,0.9850258644160088,0.0149741355839912,CentralWest_FarNorth
0.2333333333333333,60,76,3950,18289,0.4411764705882353,0.0149625935162094,0.0289435600578871,0.8200670391061452,0.0149625935162094,0.995861693438606,0.0041383065613939,CentralWest_FarNorth
0.2666666666666666,6,14,4004,18351,0.3,0.0014962593516209,0.0029776674937965,0.8204245810055866,0.0014962593516209,0.9992376803702696,0.0007623196297304,CentralWest_FarNorth
0.3,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.3333333333333333,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.3666666666666666,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.4,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.4333333333333333,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.4666666666666667,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.5,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.5333333333333333,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.5666666666666667,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.6,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.6333333333333333,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
