threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,tpr,tnr,fpr,tag
0.0,3709,18673,0,0,0.1657135197926905,1.0,0.2843125982139435,0.1657135197926905,1.0,0.0,1.0,CentralWest_FarNorth
0.0333333333333333,3659,16634,50,2039,0.1803084807569112,0.9865192774332704,0.3048912590617448,0.2545795728710571,0.9865192774332704,0.1091950945215016,0.8908049054784983,CentralWest_FarNorth
0.0666666666666666,3014,9886,695,8787,0.2336434108527131,0.8126179563224589,0.3629357577217171,0.5272540434277544,0.8126179563224589,0.4705724843356718,0.5294275156643282,CentralWest_FarNorth
0.1,2101,4876,1608,13797,0.3011322918159667,0.5664599622539768,0.3932247800860939,0.7103029219908855,0.5664599622539768,0.7388743105017941,0.2611256894982059,CentralWest_FarNorth
0.1333333333333333,1298,2465,2411,16208,0.3449375498272655,0.3499595578322998,0.3474304068522483,0.782146367616835,0.3499595578322998,0.8679912172655706,0.1320087827344294,CentralWest_FarNorth
0.1666666666666666,763,1205,2946,17468,0.3877032520325203,0.2057158263682933,0.2688039457459926,0.8145384684121169,0.2057158263682933,0.9354683232474696,0.0645316767525304,CentralWest_FarNorth
0.2,459,604,3250,18069,0.431796801505174,0.1237530331625775,0.1923721709974853,0.827808060048253,0.1237530331625775,0.9676538317356612,0.0323461682643388,CentralWest_FarNorth
0.2333333333333333,258,301,3451,18372,0.4615384615384615,0.0695605284443246,0.1208997188378631,0.8323652935394513,0.0695605284443246,0.9838804691265464,0.0161195308734536,CentralWest_FarNorth
0.2666666666666666,147,131,3562,18542,0.5287769784172662,0.0396333243461849,0.073739653875094,0.8350013403627915,0.0396333243461849,0.9929845231082312,0.0070154768917688,CentralWest_FarNorth
0.3,75,54,3634,18619,0.5813953488372093,0.0202210838500943,0.0390828556539864,0.8352247341613797,0.0202210838500943,0.9971081240293472,0.0028918759706528,CentralWest_FarNorth
0.3333333333333333,29,9,3680,18664,0.7631578947368421,0.0078188190887031,0.0154790499065919,0.8351800554016621,0.0078188190887031,0.9995180206715578,0.0004819793284421,CentralWest_FarNorth
0.3666666666666666,8,2,3701,18671,0.8,0.0021569156106767,0.0043022317827372,0.8345545527656152,0.0021569156106767,0.9998928934825684,0.0001071065174315,CentralWest_FarNorth
0.4,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.4333333333333333,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.4666666666666667,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.5,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.5333333333333333,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.5666666666666667,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.6,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.6333333333333333,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.6666666666666666,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.7,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.7333333333333333,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.7666666666666666,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
